name,latitude,longitude,link,id,address
mbc네거리,35.866703,128.62648,"https://carcctv.daegu.go.kr/live3/_definst_/ch44.stream/playlist.m3u8
",E100001,대구광역시 범어3동 동대구로 42011
가창삼거리,35.801472,128.622411,"https://carcctv.daegu.go.kr/live3/_definst_/ch206.stream/playlist.m3u8
",E100002,대구광역시 가창로 42934
감삼네거리,35.854124,128.5481,https://carcctv.daegu.go.kr/live3/_definst_/ch160.stream/playlist.m3u8,E100003,대구광역시 내당4동 당산로 41855
강창교,35.854174,128.470244,https://carcctv.daegu.go.kr/live3/_definst_/ch100.stream/playlist.m3u8,E100004,대구광역시 신당동 달구벌대로 42602
강촌마을교차로,35.876431,128.668687,https://carcctv.daegu.go.kr/live3/_definst_/ch171.stream/playlist.m3u8,E100005,대구광역시 안심2동 화랑로 41135
거동네거리,35.944943,128.558313,https://carcctv.daegu.go.kr/live3/_definst_/ch158.stream/playlist.m3u8,E100006,대구광역시 동천동 동암로 41422
건들바위네거리,35.855712,128.598484,https://carcctv.daegu.go.kr/live3/_definst_/ch37.stream/playlist.m3u8,E100007,대구광역시 대봉2동 명덕로 41960
검단네거리,35.906028,128.619153,https://carcctv.daegu.go.kr/live3/_definst_/ch165.stream/playlist.m3u8,E100008,대구광역시 복현2동 복현로 41520
경기장네거리,35.832985,128.683564,https://carcctv.daegu.go.kr/live3/_definst_/ch33.stream/playlist.m3u8,E100009,대구광역시 고산동 42250
경대교,35.886359,128.601905,https://carcctv.daegu.go.kr/live3/_definst_/ch11.stream/playlist.m3u8,E100010,대구광역시 산격4동 대현로 경대교 41568
경대부문,35.89238,128.609402,https://carcctv.daegu.go.kr/live3/_definst_/ch89.stream/playlist.m3u8,E100011,대구광역시 산격3동 대학로 80 경북대학교 41566
계명네거리,35.856101,128.58304,https://carcctv.daegu.go.kr/live3/_definst_/ch85.stream/playlist.m3u8,E100012,대구광역시 대명3동 명덕로 118 42409
계산오거리,35.866577,128.587811,https://carcctv.daegu.go.kr/live3/_definst_/ch99.stream/playlist.m3u8,E100013,대구광역시 덕산동 달구벌대로 41966
고모로,35.862289,128.675733,https://carcctv.daegu.go.kr/live3/_definst_/ch127.stream/playlist.m3u8,E100014,대구광역시 고산2동 고모로 41162
공산수원지삼거리,35.90246,128.603856,https://carcctv.daegu.go.kr/live3/_definst_/ch13.stream/playlist.m3u8,E100015,대구광역시 산격2동 동북로 41533
공평네거리,35.86981,128.600041,https://carcctv.daegu.go.kr/live3/_definst_/ch77.stream/playlist.m3u8,E100016,대구광역시 성내1동 공평로 55 41938
공항교교차로,35.899009,128.622479,https://carcctv.daegu.go.kr/live3/_definst_/ch159.stream/playlist.m3u8,E100017,대구광역시 복현2동 복현로 41528
관계삼거리,35.818824,128.64952,https://carcctv.daegu.go.kr/live3/_definst_/ch5.stream/playlist.m3u8,E100018,대구광역시 범물1동 용지고가차도 도시계획도로 42241
교동네거리,35.873643,128.601048,https://carcctv.daegu.go.kr/live3/_definst_/ch45.stream/playlist.m3u8,E100019,대구광역시 성내1동 태평로 41912
금리사거리,35.681649,128.450545,https://carcctv.daegu.go.kr/live3/_definst_/ch137.stream/playlist.m3u8,E100020,대구광역시 테크노폴리스 산업단지 테크노순환로1길 42995
금호분기점,35.894312,128.53474,https://carcctv.daegu.go.kr/live3/_definst_/ch120.stream/playlist.m3u8,E100021,대구광역시 팔달동 경부고속도로 41489
김흥2_15M-1,35.745321,128.490033,https://carcctv.daegu.go.kr/live3/_definst_/ch71.stream/playlist.m3u8,E100023,대구광역시 테크노폴리스로 42990
남대구IC,35.841363,128.527436,https://carcctv.daegu.go.kr/live3/_definst_/ch119.stream/playlist.m3u8,E100024,대구광역시 장기동 중부내륙고속도로지선 42691
남대구IC삼거리,35.836796,128.522547,https://carcctv.daegu.go.kr/live3/_definst_/ch208.stream/playlist.m3u8,E100025,대구광역시 월성2동 성서공단로 359 42699
남문네거리,35.860994,128.592425,https://carcctv.daegu.go.kr/live3/_definst_/ch83.stream/playlist.m3u8,E100026,대구광역시 중구 남산동 42410
남침산네거리,35.883431,128.590098,https://carcctv.daegu.go.kr/live3/_definst_/ch213.stream/playlist.m3u8,E100027,대구광역시 고성동3가 옥산로 41595
능성,35.963073,128.739519,https://carcctv.daegu.go.kr/live3/_definst_/ch128.stream/playlist.m3u8,E100028,대구광역시 능성동 38405
달성네거리,35.877358,128.58148,https://carcctv.daegu.go.kr/live3/_definst_/ch86.stream/playlist.m3u8,E100029,대구광역시 성내3동 달성로 41922
대구공고네거리,35.88125,128.61422,https://carcctv.daegu.go.kr/live3/_definst_/ch26.stream/playlist.m3u8,E100030,대구광역시 신암3동 아양로 41207
대구역네거리,35.874851,128.595069,https://carcctv.daegu.go.kr/live3/_definst_/ch87.stream/playlist.m3u8,E100031,대구광역시 성내1동 태평로 160 41912
대구은행네거리,35.859642,128.614208,https://carcctv.daegu.go.kr/live3/_definst_/ch93.stream/playlist.m3u8,E100032,대구광역시 수성2·3가동 달구벌대로 42016
대덕문화전당,35.831892,128.577858,https://carcctv.daegu.go.kr/live3/_definst_/ch271.stream/playlist.m3u8,E100033,대구광역시 대명9동 앞산순환로 42490
대덕산임휴사,35.809224,128.55659,https://carcctv.daegu.go.kr/live3/_definst_/ch266.stream/playlist.m3u8,E100034,대구광역시 상인3동 앞산순환로 42815
대덕승마장,35.825593,128.555351,https://carcctv.daegu.go.kr/live3/_definst_/ch268.stream/playlist.m3u8,E100035,대구광역시 송현1동 앞산순환로 42819
대리삼거리,35.663474,128.423907,https://carcctv.daegu.go.kr/live3/_definst_/ch145.stream/playlist.m3u8,E100036,대구광역시 국가산단북로 43008
대봉교,35.854998,128.607077,https://carcctv.daegu.go.kr/live3/_definst_/ch204.stream/playlist.m3u8,E100037,대구광역시 이천동 명덕로 대봉철교 42431
대실역네거리,35.857066,128.465696,https://carcctv.daegu.go.kr/live3/_definst_/ch153.stream/playlist.m3u8,E100038,대구광역시 달구벌대로 42920
대천교삼거리,35.818399,128.502613,https://carcctv.daegu.go.kr/live3/_definst_/ch163.stream/playlist.m3u8,E100039,대구광역시 월성2동 달서대로 42478
대천지하도네거리,35.815436,128.507089,https://carcctv.daegu.go.kr/live3/_definst_/ch216.stream/playlist.m3u8,E100040,대구광역시 월성2동 달서대로 42478
덕곡,35.992322,128.614994,https://carcctv.daegu.go.kr/live3/_definst_/ch129.stream/playlist.m3u8,E100041,대구광역시 동구 팔공산로 39856
덕곡치안센터,35.833669,128.600633,https://carcctv.daegu.go.kr/live3/_definst_/ch274.stream/playlist.m3u8,E100042,대구광역시 봉덕3동 효성로 42507
도곡네거리,35.927446,128.598854,https://carcctv.daegu.go.kr/live3/_definst_/ch202.stream/playlist.m3u8,E100043,대구광역시 무태조야동 호국로57길 41474
도동분기점,35.914472,128.656009,https://carcctv.daegu.go.kr/live3/_definst_/ch121.stream/playlist.m3u8,E100044,대구광역시 봉무동 경부고속도로 41031
도청교,35.888176,128.598357,https://carcctv.daegu.go.kr/live3/_definst_/ch36.stream/playlist.m3u8,E100045,대구광역시 침산2동 중앙대로 41561
